CompanyName,AuthorEmploymentStatus,AuthorJobRole,AuthorLocation,Pros,Cons,ReviewDate,ReviewMainText,ReviewTitle,OverallRating
AstraZenca,Current Employee , Quality Control Supervisor ,"Frederick, MD","The company offers great benefits, a good work environment, and is committed to the development of their employees","It is a large company and with that comes the negatives of “corporate life”. There is a lot of focus on tools to evaluate your job performance, problem solve, and trend versus letting your perform your main duties. Also, the corporate dialogue over values can come off as a bit cheesy and fake.",11-Aug-20,I have been working at AstraZeneca full-time,"""Overall a great company""",4
AstraZenca,Former Employee , Senior Director ,"Wilmington, DE","They really care about employees and take feedback well, and they are committed to growing the company after some tough years.","As with all pharmaceutical companies, it's a long, hard road to success for the company.",6-Aug-20,I worked at AstraZeneca full-time for more than 5 years,"""Great Place To Work""",5
AstraZenca,Former Employee , Executive District Sales Manager ,"Albany, NY","Compensation, Benefits Technology, drug pipeline","micro management, work life balance, industry",13-Aug-20,I worked at AstraZeneca full-time for more than 8 years,"""Big Pharma Company""",3
AstraZenca,Former Employee , Specialty District Manager ,"San Diego, CA",Stable company with a strong pipeline and solid financial status.,"Large international company , slow to respond to the market, paint by numbers approach to sales.",30-Jul-20,I worked at AstraZeneca full-time for more than 5 years,"""Stable giant""",4
AstraZenca,Current Employee , Scientist I ,"Frederick, MD","Good compensation, benefit, bonus, opportunity, work life balance","Management is sometimes poor, communication,",28-Jul-20,I have been working at AstraZeneca full-time for more than 8 years,"""great benefit""",4
AstraZenca,Former Employee , Anonymous Employee ,"Gaithersburg, MD",Competitive salary and benefits. Very knowledgeable scientists so you can improve or gain a plethora of knowledge if you use the resources provided.,"Many pains as the company that was formerly MedImmune aligns with  AstraZeneca policies.  The ""great place to work"" phrase that was earned by MedImmune is now long gone. While there are attempts to maintain a great workplace there is a long way to go until this may be an actuality under the new management and teams.",9-Aug-20,I worked at AstraZeneca full-time for more than 5 years,"""Better as MedImmune but Not Terrible""",3
AstraZenca,Current Employee , Finance ,,"Collaborative, science driven, result oriented","Complicated with alliances, dry except commercial and R&D",25-Jul-20,I have been working at AstraZeneca full-time,"""2020""",4
AstraZenca,Current Employee , Anonymous Employee ,,Great products in many therapeutic areas,"Way too big of a company, you are a number",6-Aug-20,I have been working at AstraZeneca full-time,"""Great products""",3
AstraZenca,Former Employee , Intern ,,"Great pay, relaxed atmosphere, free coffee",sometimes not a lot to do,23-Jul-20,I worked at AstraZeneca full-time for less than a year,"""Pretty great place to work!""",5
AstraZenca,Current Employee , Marketing ,"Boston, MA",My department was being cut and they were willing to place me somewhere else.,There was little communication about this and I had little say in where I would go.,7-Aug-20,I have been working at AstraZeneca full-time for more than a year,"""Good Job Security but Poor Mobility""",3
AstraZenca,Former Employee , Anonymous Employee ,"Frederick, MD",Work you do makes a great impact,site leadership lacks coherent vision,18-Jul-20,I worked at AstraZeneca full-time for more than 3 years,"""Company with great potential and great benefits package""",4
AstraZenca,Former Employee , Pharmaceutial Sales Specialist ,"Colorado Springs, CO",I enjoyed working at AZ and would work there again,The last manager I had was less then desirable,15-Jul-20,I worked at AstraZeneca full-time for more than 8 years,"""Good""",4
AstraZenca,Current Employee , Anonymous Employee ,,"Good place to work , free lunch.",Nothing much. Everything is good there.,14-Jul-20,I have been working at AstraZeneca full-time,"""Good""",5
AstraZenca,Current Employee , Executive Diabetes Sales Representative ,"New Brunswick, NJ","Team spirit, management styles, culture, career opportunities, compensation package","None, none, none, none, none",11-Jul-20,I have been working at AstraZeneca full-time,"""Great place to work""",5
AstraZenca,Former Employee , Principal Programmer ,"Gaithersburg, MD","Wonderful people, global mindset, driven and professional","Therapy area R&D units are creating functional silos, inhibiting knowledge sharing and career development options",9-Jul-20,I worked at AstraZeneca full-time,"""Great people and great R&D pipeline""",4
AstraZenca,Former Employee , Pharmaceuticals Sales Representative ,"Wilmington, DE",Good products and good high level directors,Became too micromanaged and less able to foster relationships with doctors,9-Jul-20,I worked at AstraZeneca full-time for more than 10 years,"""Salary fair""",4
AstraZenca,Former Employee , Anonymous Employee ,,"Great culture, benefits, development tools, flexibility","Pressure to perform, no work life balance. It's a hit or miss with management",13-Jul-20,I worked at AstraZeneca full-time for more than a year,"""Pressure to perform""",3
AstraZenca,Current Employee , Global Regulatory Manager ,"Gaithersburg, MD","great processes
company has a promising pipeline
great incentives
flexibility to work from home","no promotion
can't grow inspite of being with the company for a long time",29-Jun-20,I have been working at AstraZeneca full-time for more than 5 years,"""great place to work but no growth""",4
AstraZenca,Former Employee , Material Handler ,"West Chester, OH","There are no pros to working for AstraZeneca, at least at the West Chester site. The only one I can think of is some of my fellow workers were good people, but most set new people up to fail by tricking them. This is because they are inept and jealous of people who actually have experience.","The level of incompetence displayed by supervisors and anyone who is not a worker is to another level.  The tokenism is laughable and disgusting. This is an anti-American, alt-left company deadset on destroying American values. The obsession with liberal education is too much, with all these graduates not having a clue about anything they think they do, allowing the weak to win. This is against science and basic American values. It is really sad and depressing. Everyone who is not a worker is just an inexperienced idiot. If you aren't a token or fit in with the alt-left, there is no future for you at AstraZeneca.

You don't follow the science. You give jobs to tokens. You play to lose. AstraZeneca is a disgusting disgrace.",1-Aug-20,I worked at AstraZeneca full-time for more than a year,"""Outrageous Tokenism. Total Incompetence. Terrible Company.""",1
AstraZenca,Former Employee , Product Manager ,"South San Francisco, CA","challenging, cutting-edge work with smart, motivated colleagues","Main business centers are in UK, Sweden, and U.S. East Coast, so you'll feel disconnected on the West Coast.",7-Jul-20,I worked at AstraZeneca full-time for more than 3 years,"""Good company, limited opportunities on West Coast""",3
AstraZenca,Current Employee , Anonymous Employee ,,great leadership to work for,none that i can think of,19-Jun-20,I have been working at AstraZeneca full-time,"""great""",5
AstraZenca,Current Employee , Senior Research Associate ,,Good learning opportunities and good location if you live in the city,the commute is worse especially when driving towards Boston,16-Jun-20,I have been working at AstraZeneca full-time,"""Good company good benefits""",4
AstraZenca,Former Employee , Internal Communications ,"Gaithersburg, MD",Working at this company made me realize exactly the kind of company culture I would never want to work in.,"Although the compensation and on-campus perks are amazing, they do not make up for the stress, anxiety and disrespect I endured while working here as a Black woman. Just weeks after I was hired, my bosses and team started criticizing me for not meeting expectations which were never communicated to me, although I was not properly onboarded and was not provided the proper training on team processes or expectations. 

I would get reprimanded for little things, like not replying right away to acknowledge that I had received emails, or not telepathically knowing that ""get this done whenever you can"" actually means ""get this done yesterday."" Somehow, my peers could get away with spontaneously taking the afternoon off, but when I announced any planned time-off two days in advance, I was told that I was taking ""too much time-off."" 

Slowly, the narrative was changing--I was no longer a competent communications professional, but an ""inept, consistently absent"" employee, even though I hadn't taken any more time-off than my white peers. 

I constantly felt as if I had to prove myself, prove that I belonged. When I was away from my workstation, my team would sometimes bad-mouth me within earshot of other workers. If I had to leave the office a little early, the comments included, ""Where is she going this time?"" My manager was once overheard saying that I ""always have doctor's appointments."" I should clarify here that at the time that I was hired for this role, I had well over 15 years of experience and a proven track record of meeting deadlines and delivering excellent work, and was simply trying to maintain a healthy work-life balance. 

When I tried reaching out to former managers and mentors for support, I was told that they didn't want to get involved.

Eventually, I quit due to increasing anxiety, stress and burnout. And when I did, several other Black colleagues came out of the woodwork to confide in me how poorly treated they had been for many years. To this day, I have a few friends of color who still work there and who are still experiencing the worst forms of microaggressions and sometimes outright racism.

AstraZeneca is a great place to work--but not for people of color.",15-Jul-20,I worked at AstraZeneca full-time for more than a year,"""No Place for People of Color""",1
AstraZenca,Current Employee , Data Scientist ,,"Great benefits, upper management is transparent to employees",Can be political at times,11-Jun-20,I have been working at AstraZeneca full-time,"""Great place to work""",4
AstraZenca,Former Employee , Associate Director ,"Gaithersburg, MD",Science-based research and great people to work with,Since AstraZeneca took over and retired the Medimmune name the biotech culture has been lost. Feels like big pharma with a higher emphasis on throughput and corporate image,5-Jun-20,I worked at AstraZeneca full-time for more than 8 years,"""Medimmune No More""",4
AstraZenca,Former Employee , Principal Engineer ,"West Chester, OH","Salary is good, clean facility.",Lack of organization. No accountability on part of management.,17-Jun-20,I worked at AstraZeneca full-time for more than a year,"""Pay is good.  Fine place to work if you just want to keep your head down.""",2
AstraZenca,Current Employee , APS ,"Waltham, MA","living values and behaviours: follow the science, put patients first, play to win, do the right thing, entrepreneurial. Together with sustainability and great goals (curing cancer) - there's a strong sense of collaborative purpose to turn molecules into medicines",we're all only human and we only have so many hours in a day - there's way more opportunity than time to take advantage of it.,2-Jun-20,I have been working at AstraZeneca full-time for more than 5 years,"""Brilliant scientists plus great leadership going to cure cancer""",5
AstraZenca,Current Employee , Laboratory Analyst (Microbiology) ,"West Chester, OH",Great company with good benefits.,"An incestuous, overly political, extremely poor management team: The department is run by people who don't know what they are doing. Everyone is basically technicians. Majority of them are not professional, have limited management skills and are not even educated with the proper degree for their positions. They repeatedly demonstrate some of the most childish behavior I've ever witnessed it my career. I've never seen a leadership more capable of setting people up for failure, and then blame them for it when they do. They drag you around until you either break or you leave the company. The department is in constant chaos and they continue to re-org with very little benefit it seems.

There is no career development whatsoever and there is favoritism abound. Advancement is not based on tenure, education, or experience; it is by who you can get close to. 
	Management makes promises and rarely provides closure. They say engagement is ""critical"" but do not support individual participation nor do managers encourage inclusion on the annual review process.",2-Jul-20,I have been working at AstraZeneca full-time,"""Extremely Poor Management""",1
AstraZenca,Former Employee , Director ,"Gaithersburg, MD","- The focus on patients is pervasive and sincere
- Many smart driven colleagues, particularly those in mid-level positions that are committed to the work and to bringing life-saving drugs to market
- Bonus potential is high","African Americans are used as tokens throughout the organization and are not given meaningful opportunities for visibility, promotions, and leadership. The environment at AZ can be cutthroat in general with others willingly throwing you under the bus, but with AAs - it's magnified because we are low hanging fruit, and others willingly accept a narrative that you are inferior and will use that to hold you back. You will constantly feel uncomfortable and excluded at AZ - this is both with respect to US and global teams in Gaithersburg, Wilmington, Cambridge, and other locations as I have worked across teams and offices. Diversity efforts are for show only and are largely focused on promoting caucasian women and checking the box on addressing diversity. You will not see any other AAs in leadership positions or even above a Director level.  As I now am with another organization, while there is work to be done by everyone, there is a STARK difference in how my new organization treats AAs as compared to AstraZeneca I can't recommend AZ to another AA unless there is a major culture shift within the company.",2-Jun-20,I worked at AstraZeneca full-time for more than 5 years,"""Lack of commitment to true diversity""",2
AstraZenca,Current Employee , Research and Development Scientist ,"Boston, MA","A stable, forward looking company that promotes collaboration and innovation",Frequent reorganizations are disruptive to the öroductuvity of the employees.,25-May-20,I have been working at AstraZeneca full-time for more than 10 years,"""A nice place to work""",4
AstraZenca,Current Employee , Anonymous Employee ,,"401K, health insurance, higher Mgmt, work ethics, takes care of employees, cross functional development opportunities.",Opportunity for growth is there but perhaps could be better.,21-May-20,I have been working at AstraZeneca full-time for more than a year,"""Excellent company""",5
AstraZenca,Current Employee , Manufacturing Associate ,"Frederick, MD","Willing to work with you to accomplish a work/life balance. 
Empowers you to get to the next level so noone feels trapped in a job. 
Promotes cross training to develop well rounded technicians.",Manufacturing training department needs work.,19-May-20,I have been working at AstraZeneca full-time for more than 3 years,"""Great place to work.""",4
AstraZenca,Current Employee , District Sales Manager ,"Washington, DC","Great products, pipeline and people.",Culture toxic. Leadership very heavy metrics focus and does not properly support employees,28-May-20,I have been working at AstraZeneca full-time for more than 5 years,"""Overall company is very strong but leadership does not support their people""",3
AstraZenca,Former Employee , Intern ,"Wilmington, DE",Great for learning about the entire business,Could be hard when it comes to finding directions from superiors,10-May-20,I worked at AstraZeneca full-time for less than a year,"""Great position""",5
AstraZenca,Current Employee , Director ,"Field, NM",The company’s biggest Pro is their great pipeline and diverse portfolio. They are also a leader in Oncology. Fare compensation.,Annual rating system sucks. Too much of a cut throat competitive atmosphere. Some colleagues have left in the past few years because they thought it was too toxic.,7-May-20,I have been working at AstraZeneca full-time for more than 5 years,"""Good science and pipeline.""",4
AstraZenca,Former Employee , DSM ,,Expanding portfolio across broad range of Therapeutics,Old school leadership- old way of thinking,6-May-20,I worked at AstraZeneca full-time for more than 8 years,"""Good Company""",4
AstraZenca,Current Employee , Senior Director Market Access ,"Silver Spring, MD",great flexibilty and options to travel,work life balance is easy to have a family,4-May-20,I have been working at AstraZeneca full-time,"""market access""",5
AstraZenca,Current Employee , Associate Scientist ,"Gaithersburg, MD",A lot of nice people,Hard to move up without PhD,3-May-20,I have been working at AstraZeneca full-time for more than 3 years,"""Good not great""",3
AstraZenca,Current Employee , Director ,"Wilmington, DE","Competitive salary, bonuses can be phenomenal, generous stock grants, great healthcare plans","Performance Management system, retirement savings plan for those hired after 12/31/2017 (massive cuts to benefits for those hired afterward). Forced ranking performance management system requires 10%-15% of the workforce to be told they are not performing in their jobs each year. This typically results in no stock award and bonus cut in half. Very political system. Forced ranking does not work in a lean organization that does not want attrition. Stifles collaboration as employees need to compete with each other for bonus and stock money instead of focusing on the mission. Discourages teamwork.",28-Mar-20,I have been working at AstraZeneca full-time for more than 5 years,"""Beware of Performance Management Policy - Ask about it during your interview""",3
AstraZenca,Current Employee , Anonymous Employee ,"Gaithersburg, MD",Good pay; benefits; generous time off; flexible work environment,"Ambition vs. resources is way out of alignment; management says yes to everything, with no money or people to back it up; prioritization problems rampant; talk about wellbeing, but it’s because it’s the popular thing to say, not because they truly care which is sad for a health-related company; palpable hierarchy, with sometimes inept Sr. Leaders that don’t talk to one another.  Enabling functions should look to other, more progressive industries as pharmaceuticals is not innovative when it comes to actually running the business well.",12-Apr-20,I have been working at AstraZeneca full-time for more than 3 years,"""Company that believes their own hype""",2
AstraZenca,Former Employee , Pilot Production Technician III ,"Gaithersburg, MD","Willingness to teach necessary skills to be successful in the position. 
Friendly atmosphere.","Long hours.
Promotions are competative and are based on small availability.
Work life balance almost nonexistent for nightshift workers.",8-Apr-20,I worked at AstraZeneca full-time,"""Hard work for hard pay""",3
AstraZenca,Current Employee , CRA ,"Wilmington, DE",Great benefits and decent pay,"Company grew USSMM too quickly and started hiring poor quality CRAs.  There are a lot of politics and managers playing favorites, you arent promoted unless you have a manager who lets you get the LT visibility needed.  They promote the young visible brown nosers before the hard working CRAs with more field experience.",30-Mar-20,I have been working at AstraZeneca full-time for more than 3 years,"""Good Benefits, OK pay, grew team too fast""",3
AstraZenca,Former Employee , Coordinator ,,"The company has a very good working environment and culture. Colleagues are friendly. From this full-time experience, my self-learning skills and multi-tasking skills improved a lot.",People are really hard-working because of the fast-pace working environment.,18-Mar-20,I worked at AstraZeneca full-time for less than a year,"""Good opportunity for working""",5
AstraZenca,Current Employee , Contract Business Manager ,"Gaithersburg, MD",Best benefits around in the industry,Work from home policy should be broader,11-Mar-20,I have been working at AstraZeneca full-time for more than 8 years,"""Great Place to Work""",4
AstraZenca,Former Employee , Senior Sales Representative ,"Grand Rapids, MI","Pipeline, products, teaming, technology, budgets","micro managers, metrics, resourses, meetings",25-Mar-20,I worked at AstraZeneca full-time for more than 8 years,"""Life at AstraZeneca""",3
AstraZenca,, ,"Gaithersburg, MD","Strong pipeline, very  nice people to work with  and they encourage employees to continue in their learning and development.",Can’t think of any at this time.,1-Mar-20,I have been working at AstraZeneca ,"""They care about their employees.  They have great development opportunities.   They care about continuous improvement.""",5
AstraZenca,, ,,"Pay, Benefits, People, providing new medications to people who need it.","Very big company with a lot of things happening, sometimes need to shout to be heard.",3-Mar-20,I have been working at AstraZeneca ,"""Big Company that listens to its employees""",5
AstraZenca,,Current Employee ,,"Support culture where team work is valued,pipeline",company politics and growth opportunity,3-Mar-20,I have been working at AstraZeneca full-time,"""Culture""",4
AstraZenca,, ,,Good salary and benefits.  Opportunity to learn and grow.  Good people to work with.,"Some Politics... 
It seems you get promoted based more on the number of years you have been in a particular job, than what you accomplished.",22-Feb-20,I have been working at AstraZeneca ,"""Great growth, and healthy!""",4
AstraZenca,,Current Employee ,,Good opportunities available for promotions,Opportunities are not always filled internally,9-Feb-20,I have been working at AstraZeneca full-time for more than 10 years,"""Senior PSS""",4
AstraZenca,,Current Employee ,,"Great products
Strong pipeline
Room for growth
Performance based Culture",Can get lonely driving in your car,3-Feb-20,I have been working at AstraZeneca full-time for more than 5 years,"""Great company to work for""",5
AstraZenca,,Director ,"Gaithersburg, MD",Drug portfolio is good. Focus on Oncology. CEO I is outstanding!!!,"Not adequate planning- rush on everything, 4 launched for the team in 3 years....! National Oncology meeting in Las Vegas casino ... with smoking & drinking all around...are you really focusing on Oncology patients?! Seems like a FALSE statement, sorry...
Also, management really does not care about employees. Everyone is “busy”, you even do not have access to management 1+ level (head of department). No inspiration & motivation from management.
No work & life balance- work on evenings & weekends is normal.",17-Feb-20,I worked at AstraZeneca ,"""Disappointing... it WAS a good company...""",2
AstraZenca,,Current Employee ,,science is at the center to help patients,"Employees pay for the lack of management sometimes,",12-Feb-20,I have been working at AstraZeneca full-time for more than 5 years,"""Nice working atmosphere, beautiful location""",3
AstraZenca,,Former Employee ,,Great benefits and growth opportunity.  Nice onsite gym.,Management tends to lack concern for employees' well-being,28-Jan-20,I worked at AstraZeneca full-time for more than 5 years,"""Great Company""",4
AstraZenca,,Current Employee ,,"Work-life balance is great, great healthcare benefits and great employee benefits during the workday.",High-risk environment and must be detail-oriented. High-speed work environment and must adopt.,21-Jan-20,I have been working at AstraZeneca full-time for less than a year,"""Great place to work!""",5
AstraZenca,,Former Employee ,,Very upbeat work place and pleasure to work with internal people,Salary was pretty low compared to other MSL salary,16-Jan-20,I worked at AstraZeneca full-time,"""Yo""",5
AstraZenca,,Former Employee ,,"1. Lots of challenging assignments, both regular business & projects related.
2.  High calibre team,. Lots of collaboration & sharing of ideas!","Need to constantly keep up to speed with all the activities, as will be expected in any organization of this size & global presence.",9-Jan-20,I worked at AstraZeneca full-time for more than 10 years,"""Great company: a truly global environment""",5
AstraZenca,,Current Employee ,,"Top of the line benefits, a lot of time off,  generous bonuses",Management can be a little scattered at times. Many gaps in communication and little accountability to operators,7-Jan-20,I have been working at AstraZeneca full-time for more than 3 years,"""Great place to work""",5
AstraZenca,,Current Employee ,,Strong company growth! A rising tide lifts all boats....,Global organization limits face to face relationships,7-Jan-20,I have been working at AstraZeneca full-time for more than 5 years,"""It really is a great place to work!""",5
AstraZenca,,Current Employee ,,Benefits are ok - average for a global pharma working in Massachusetts.,"Waltham site is increasingly leased out. Center-of-mass in US is Gaithersburg, especially post-Medi integration (which has been going for a year now). Career progression is very slow. Management promises change then slow walks everything like they are saving money.",10-Feb-20,I have been working at AstraZeneca full-time,"""AZ-Medi reorg a mess. Waltham is fading.""",1
AstraZenca,,Current Employee ,,Many opportunities and responsibilities  Good work life balance  Availability to explore areas outside of your experience,Promotions might be slow as it is a flat structure,3-Jan-20,I have been working at AstraZeneca full-time for more than 3 years,"""Great place to work""",4
AstraZenca,,Former Employee ,,"Lots of flexibility
No micro management here",No cons for this position,21-Dec-19,I worked at AstraZeneca full-time for less than a year,"""My review""",5
AstraZenca,,Former Employee ,,"Great compensation, smart and committed colleagues.",Heavy workload and unclear processes make life difficult.,21-Dec-19,I worked at AstraZeneca full-time for more than 10 years,"""Stop the chaos""",4
AstraZenca,,Current Employee ,,"The company portfolio is really robust, wide range of molecule modalities in the development stage, meaning there are plenty of opportunities and good sustainability.",Having plenty of opportunities could mean that there are always work to do. Constantly feeling engaged.,16-Dec-19,I have been working at AstraZeneca full-time for more than 3 years,"""Robust pipeline with lots of opportunities""",4
AstraZenca,,Current Employee ,,Good place to work when homebased.,None to be shared at present.,6-Dec-19,I have been working at AstraZeneca full-time for more than a year,"""Good""",5
AstraZenca,,Current Employee ,,Great current products and incredibly promising future pipeline. The culture is overall good.,I question some of the leadership but what major corporation doesn’t have that,12-Dec-19,I have been working at AstraZeneca full-time for more than 3 years,"""Solid pipeline - questionable leadership""",3
AstraZenca,,Current Employee ,,"- management cares about employees
- company puts patients first",#NAME?,21-Nov-19,I have been working at AstraZeneca full-time for more than 5 years,"""Great company to work for""",5
AstraZenca,,Former Employee ,,Good pay good field people,Lots of management changes not the best at communicating,20-Nov-19,I worked at AstraZeneca full-time,"""its good for Pharma""",4
AstraZenca,,Current Employee ,,"Company is growing again, instead of shrinking",Even with top performance reviews and successful outcomes on a development plan they find every reason to not promote internally.  Have to leave to continue to grow your career.,22-Nov-19,I have been working at AstraZeneca full-time for more than 10 years,"""promotions are impossible""",2
AstraZenca,,Former Employee ,,Involved managers and variety of projects.,Sometimes slow without much work.,16-Nov-19,I worked at AstraZeneca full-time,"""Great Internship Experience""",5
AstraZenca,,Current Employee ,,"Company perks- weekly happy hours, sleep pods, full gym and fitness classes, and dog therapy once a month","Not very many cons. It can be tough to move up, and communication is a bit of a challenge, but other than that it's a great place to work",10-Nov-19,I have been working at AstraZeneca full-time for more than a year,"""Great place to work""",4
AstraZenca,,Current Employee ,,it is a great place to work with a lot of opportunities,promotion for Asia is very slow,12-Nov-19,I have been working at AstraZeneca full-time for more than a year,"""working enviroment""",5
AstraZenca,,Current Employee ,,"Excellent culture, solid leadership, great health and retirement benefits, truly lives what they say",Consistently underpaid by about 5-10% compared to competition until you prove yourself,10-Nov-19,I have been working at AstraZeneca full-time for more than 3 years,"""Leadership wants you to grow, excellent culture.""",5
AstraZenca,,Current Employee ,,Great product portfolio.  Really like the people in my district. Great benefits.,"My salary is not industry standard for my level of experience. Bonuses are not consistent and target is low.  There is a culture of attention seekers trying to get promoted that adds very little value to the company. If you want to move into oncology or immunology your chances are slim. Endless field days, I’ve never experienced anything like it during my career.",13-Nov-19,I have been working at AstraZeneca full-time for more than 5 years,"""I’ve been at better organizations""",3
AstraZenca,,Former Employee ,,"Great mission, peers and flexibility",Leadership is poor and focused on own advancement,5-Nov-19,I worked at AstraZeneca full-time,"""Could be better""",3
AstraZenca,,Current Employee ,,"Flexibility, work/life balance, good benefits","communication, promotion 
process, vacation carry-over",23-Oct-19,I have been working at AstraZeneca full-time for more than 8 years,"""Great Place""",5
AstraZenca,,Current Employee ,,"The people within sales, medical, and the corporate office are super approachable.",CBD and EBD doesn't promote from within,16-Oct-19,I have been working at AstraZeneca full-time for more than 3 years,"""Sales""",4
AstraZenca,,Former Employee ,,The salary and benefits were good.,There were layoffs every year I worked there.,29-Oct-19,I worked at AstraZeneca full-time for more than 5 years,"""District Manager""",2
AstraZenca,,Former Employee ,,"Good benefits , pto decent amount",Hard to move along career ladder especially during enterprise  years,9-Oct-19,I worked at AstraZeneca full-time for more than 3 years,"""Good benefits""",4
AstraZenca,,Current Employee ,,"Stable employment.
Management is developed from within.
Collaborative management team.","Few promotion opportunities.
Salaries are stagnant.",9-Oct-19,I have been working at AstraZeneca full-time for more than 5 years,"""Good company with growing pipeline.""",4
AstraZenca,,Current Employee ,,It is a great learning environment and the people are lovely.,You have to be proactive to get the most out of it.,1-Oct-19,I have been working at AstraZeneca full-time for more than a year,"""Amazing opportunity for entering industry""",5
AstraZenca,,Current Employee ,,"- Proactive learning 
- Great networking opportunities 
- Manageable hours","- Commute from philly
- Not a lot of young professionals",2-Oct-19,I have been working at AstraZeneca part-time for more than a year,"""Awesome Experience - great procurement team""",5
AstraZenca,,Current Employee ,,Pay and benefits are great although a little extreme eg visiting hair salon.,"The recent transformation effort was poorly thought through in order to rush it to completion. As a result we lost some of our truly great leaders, gained a raft of new mid ranking managers lacking vision and leadership capability, and now have an organization that feels incomplete, disjointed and directionless.",10-Oct-19,I have been working at AstraZeneca full-time for more than 3 years,"""Transformation for the worse""",2
AstraZenca,,Current Employee ,,Good people nice place easy,None really good place I like it,25-Sep-19,I have been working at AstraZeneca full-time for more than 5 years,"""Good place""",4
AstraZenca,,Current Employee ,,good multinational pharma company to work for.,too many restructuring initiatives going on creating uncertainty and interfering with BAU.,24-Sep-19,I have been working at AstraZeneca full-time for more than 3 years,"""Good company""",4
AstraZenca,,Current Employee ,,"Pipeline, benefits, holidays, vacation time","big pharma, needs more focus on specialty products",21-Sep-19,I have been working at AstraZeneca full-time for more than 10 years,"""Great Pipeline""",4
AstraZenca,,Former Employee ,,Loved the people working there. Everyone understood each other and communicated well,Company is in a downturn and had to cut headcount,3-Oct-19,I worked at AstraZeneca full-time,"""Great People - Turbulent time""",3
AstraZenca,,Current Employee ,,Love it    and everyone else,Vision Vision  Vision  Visoin  Vision,18-Sep-19,I have been working at AstraZeneca full-time for more than 5 years,"""Great""",4
AstraZenca,,Current Employee ,,Great place to work. Employee resource groups are wonderful. Opportunity for growth/movement.,"None really that I can think of.  Any possible ""con"" Ive encountered I have gotten resolution for.",16-Sep-19,I have been working at AstraZeneca full-time for more than a year,"""Great Place to Work!""",4
AstraZenca,,Former Employee ,,Benefits and Compensation are very positive.,HR is a second class citizen and will always have issues.,27-Sep-19,I worked at AstraZeneca full-time for more than a year,"""HR Leadership is poor with no vision for the future.""",2
AstraZenca,,Current Employee ,,"Great leadership, products, values and culture",Not the best with technology,11-Sep-19,I have been working at AstraZeneca full-time,"""Great company""",5
AstraZenca,,Current Employee ,,Decent benefits and pay.  Nice employees.,Direction and vision is not always clear.  Hard to get promoted. They hire externally many times when there are qualified internal candidates.,8-Sep-19,I have been working at AstraZeneca full-time for more than 10 years,"""Great company always changing""",4
AstraZenca,,Former Employee ,,"Great place to work with lots of opportunity, great pipeline and strategic vision from the top.","Constant reorgs every 2 years and most opportunities moving away from Wilmington, DE to more expensive Gaithersburg Maryland and London, UK",6-Sep-19,I worked at AstraZeneca full-time for more than 10 years,"""A great place to work that has changed""",4
